tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-07-28,DKI2 (Kelapa Gading),82,113,53,13,40,28,113,PM25,TIDAK SEHAT
2021-07-29,DKI2 (Kelapa Gading),69,97,52,12,53,24,97,PM25,SEDANG
2021-07-30,DKI2 (Kelapa Gading),90,117,54,12,81,29,117,PM25,TIDAK SEHAT
2021-07-31,DKI2 (Kelapa Gading),63,---,50,8,65,18,65,O3,SEDANG
2021-07-01,DKI3 (Jagakarsa),64,92,48,8,22,18,92,PM25,SEDANG
2021-07-02,DKI3 (Jagakarsa),60,84,47,7,23,18,84,PM25,SEDANG
2021-07-03,DKI3 (Jagakarsa),80,124,45,10,28,17,124,PM25,TIDAK SEHAT
2021-07-04,DKI3 (Jagakarsa),86,132,44,9,28,14,132,PM25,TIDAK SEHAT
2021-07-05,DKI3 (Jagakarsa),67,105,46,7,38,15,105,PM25,TIDAK SEHAT
2021-07-06,DKI3 (Jagakarsa),68,102,44,7,32,16,102,PM25,TIDAK SEHAT
2021-07-07,DKI3 (Jagakarsa),73,109,48,8,31,17,109,PM25,TIDAK SEHAT
2021-07-08,DKI3 (Jagakarsa),71,110,50,6,33,16,110,PM25,TIDAK SEHAT
2021-07-09,DKI3 (Jagakarsa),79,119,51,7,34,17,119,PM25,TIDAK SEHAT
2021-07-10,DKI3 (Jagakarsa),67,97,51,4,31,14,97,PM25,SEDANG
2021-07-11,DKI3 (Jagakarsa),60,80,47,5,21,14,80,PM25,SEDANG
2021-07-12,DKI3 (Jagakarsa),50,---,47,4,14,11,50,PM10,BAIK
2021-07-13,DKI3 (Jagakarsa),62,99,50,8,25,18,99,PM25,SEDANG
2021-07-14,DKI3 (Jagakarsa),66,94,45,6,23,15,94,PM25,SEDANG
2021-07-15,DKI3 (Jagakarsa),80,126,49,9,28,23,126,PM25,TIDAK SEHAT
2021-07-16,DKI3 (Jagakarsa),84,123,49,7,29,16,123,PM25,TIDAK SEHAT
2021-07-17,DKI3 (Jagakarsa),70,102,49,5,31,14,102,PM25,TIDAK SEHAT
2021-07-18,DKI3 (Jagakarsa),79,121,49,5,33,16,121,PM25,TIDAK SEHAT
2021-07-19,DKI3 (Jagakarsa),80,122,48,4,33,17,122,PM25,TIDAK SEHAT
2021-07-20,DKI3 (Jagakarsa),77,110,45,5,25,18,110,PM25,TIDAK SEHAT
2021-07-21,DKI3 (Jagakarsa),54,81,45,4,19,13,81,PM25,SEDANG
2021-07-22,DKI3 (Jagakarsa),57,79,49,5,22,20,79,PM25,SEDANG
2021-07-23,DKI3 (Jagakarsa),63,91,46,5,38,16,91,PM25,SEDANG
2021-07-24,DKI3 (Jagakarsa),51,73,45,4,29,12,73,PM25,SEDANG
2021-07-25,DKI3 (Jagakarsa),68,102,47,6,32,17,102,PM25,TIDAK SEHAT
2021-07-26,DKI3 (Jagakarsa),69,103,49,6,28,17,103,PM25,TIDAK SEHAT
2021-07-27,DKI3 (Jagakarsa),64,96,50,11,30,15,96,PM25,SEDANG
2021-07-28,DKI3 (Jagakarsa),76,124,49,18,26,20,124,PM25,TIDAK SEHAT
2021-07-29,DKI3 (Jagakarsa),73,28,47,17,26,18,73,PM10,SEDANG
2021-07-30,DKI3 (Jagakarsa),75,29,51,14,43,21,75,PM10,SEDANG
2021-07-31,DKI3 (Jagakarsa),57,26,9,18,31,29,57,PM10,SEDANG
2021-07-01,DKI4 (Lubang Buaya),62,114,37,13,23,27,114,PM25,TIDAK SEHAT
2021-07-02,DKI4 (Lubang Buaya),59,108,40,10,18,23,108,PM25,TIDAK SEHAT
2021-07-03,DKI4 (Lubang Buaya),72,141,37,13,25,20,141,PM25,TIDAK SEHAT
2021-07-04,DKI4 (Lubang Buaya),84,161,38,14,27,22,161,PM25,TIDAK SEHAT
2021-07-05,DKI4 (Lubang Buaya),83,153,39,13,31,26,153,PM25,TIDAK SEHAT
2021-07-06,DKI4 (Lubang Buaya),58,100,38,9,31,22,100,PM25,SEDANG
2021-07-07,DKI4 (Lubang Buaya),69,130,40,12,26,26,130,PM25,TIDAK SEHAT
2021-07-08,DKI4 (Lubang Buaya),74,145,40,10,29,25,145,PM25,TIDAK SEHAT
2021-07-09,DKI4 (Lubang Buaya),87,156,42,11,30,25,156,PM25,TIDAK SEHAT
2021-07-10,DKI4 (Lubang Buaya),71,132,45,9,29,21,132,PM25,TIDAK SEHAT
2021-07-11,DKI4 (Lubang Buaya),66,119,39,10,21,17,119,PM25,TIDAK SEHAT
2021-07-12,DKI4 (Lubang Buaya),---,---,---,---,---,---,0,,TIDAK ADA DATA
2021-07-13,DKI4 (Lubang Buaya),67,119,39,11,20,23,119,PM25,TIDAK SEHAT
2021-07-14,DKI4 (Lubang Buaya),57,116,39,13,20,26,116,PM25,TIDAK SEHAT
2021-07-15,DKI4 (Lubang Buaya),95,174,40,15,22,24,174,PM25,TIDAK SEHAT
2021-07-16,DKI4 (Lubang Buaya),71,138,37,11,24,29,138,PM25,TIDAK SEHAT
2021-07-17,DKI4 (Lubang Buaya),73,134,35,9,26,19,134,PM25,TIDAK SEHAT
2021-07-18,DKI4 (Lubang Buaya),75,150,37,12,32,22,150,PM25,TIDAK SEHAT
2021-07-19,DKI4 (Lubang Buaya),74,140,36,11,32,21,140,PM25,TIDAK SEHAT
2021-07-20,DKI4 (Lubang Buaya),80,147,38,13,26,21,147,PM25,TIDAK SEHAT
2021-07-21,DKI4 (Lubang Buaya),55,102,36,9,30,18,102,PM25,TIDAK SEHAT
2021-07-22,DKI4 (Lubang Buaya),57,110,39,9,28,26,110,PM25,TIDAK SEHAT
2021-07-23,DKI4 (Lubang Buaya),56,104,36,10,35,25,104,PM25,TIDAK SEHAT
2021-07-24,DKI4 (Lubang Buaya),56,104,37,12,27,25,104,PM25,TIDAK SEHAT
2021-07-25,DKI4 (Lubang Buaya),81,148,38,22,28,24,148,PM25,TIDAK SEHAT
2021-07-26,DKI4 (Lubang Buaya),68,131,39,14,24,25,131,PM25,TIDAK SEHAT
2021-07-27,DKI4 (Lubang Buaya),71,140,40,12,24,26,140,PM25,TIDAK SEHAT
2021-07-28,DKI4 (Lubang Buaya),73,145,39,14,24,27,145,PM25,TIDAK SEHAT
2021-07-29,DKI4 (Lubang Buaya),66,130,40,12,25,25,130,PM25,TIDAK SEHAT
2021-07-30,DKI4 (Lubang Buaya),83,154,39,15,37,34,154,PM25,TIDAK SEHAT
2021-07-31,DKI4 (Lubang Buaya),56,100,38,9,29,22,100,PM25,SEDANG
2021-07-01,DKI5 (Kebon Jeruk) Jakarta Barat,54,88,31,12,17,28,88,PM25,SEDANG
2021-07-02,DKI5 (Kebon Jeruk) Jakarta Barat,56,90,29,23,11,51,90,PM25,SEDANG
2021-07-03,DKI5 (Kebon Jeruk) Jakarta Barat,60,103,31,13,20,27,103,PM25,TIDAK SEHAT
2021-07-04,DKI5 (Kebon Jeruk) Jakarta Barat,73,126,32,13,26,25,126,PM25,TIDAK SEHAT
2021-07-05,DKI5 (Kebon Jeruk) Jakarta Barat,66,115,35,11,36,20,115,PM25,TIDAK SEHAT
2021-07-06,DKI5 (Kebon Jeruk) Jakarta Barat,52,80,32,8,32,23,80,PM25,SEDANG
2021-07-07,DKI5 (Kebon Jeruk) Jakarta Barat,60,101,36,10,31,23,101,PM25,TIDAK SEHAT
2021-07-08,DKI5 (Kebon Jeruk) Jakarta Barat,62,108,37,10,30,23,108,PM25,TIDAK SEHAT
2021-07-09,DKI5 (Kebon Jeruk) Jakarta Barat,65,113,40,11,34,22,113,PM25,TIDAK SEHAT
2021-07-10,DKI5 (Kebon Jeruk) Jakarta Barat,55,85,42,6,26,17,85,PM25,SEDANG
2021-07-11,DKI5 (Kebon Jeruk) Jakarta Barat,46,70,40,6,18,13,70,PM25,SEDANG
2021-07-12,DKI5 (Kebon Jeruk) Jakarta Barat,39,58,28,6,14,14,58,PM25,SEDANG
2021-07-13,DKI5 (Kebon Jeruk) Jakarta Barat,59,102,42,11,19,26,102,PM25,TIDAK SEHAT
2021-07-14,DKI5 (Kebon Jeruk) Jakarta Barat,51,82,38,9,20,26,82,PM25,SEDANG
2021-07-15,DKI5 (Kebon Jeruk) Jakarta Barat,75,129,35,14,26,26,129,PM25,TIDAK SEHAT
2021-07-16,DKI5 (Kebon Jeruk) Jakarta Barat,70,114,33,11,30,22,114,PM25,TIDAK SEHAT
2021-07-17,DKI5 (Kebon Jeruk) Jakarta Barat,57,89,32,8,32,19,89,PM25,SEDANG
2021-07-18,DKI5 (Kebon Jeruk) Jakarta Barat,67,115,33,13,34,27,115,PM25,TIDAK SEHAT
2021-07-19,DKI5 (Kebon Jeruk) Jakarta Barat,61,108,28,9,38,20,108,PM25,TIDAK SEHAT
2021-07-20,DKI5 (Kebon Jeruk) Jakarta Barat,70,112,32,14,24,21,112,PM25,TIDAK SEHAT
2021-07-21,DKI5 (Kebon Jeruk) Jakarta Barat,49,80,31,8,18,19,80,PM25,SEDANG
2021-07-22,DKI5 (Kebon Jeruk) Jakarta Barat,51,85,37,9,22,27,85,PM25,SEDANG
2021-07-23,DKI5 (Kebon Jeruk) Jakarta Barat,53,85,30,8,27,25,85,PM25,SEDANG
2021-07-24,DKI5 (Kebon Jeruk) Jakarta Barat,49,83,27,11,23,32,83,PM25,SEDANG
2021-07-25,DKI5 (Kebon Jeruk) Jakarta Barat,77,131,28,24,27,42,131,PM25,TIDAK SEHAT
2021-07-26,DKI5 (Kebon Jeruk) Jakarta Barat,66,116,29,16,24,31,116,PM25,TIDAK SEHAT
2021-07-27,DKI5 (Kebon Jeruk) Jakarta Barat,64,110,32,13,29,35,110,PM25,TIDAK SEHAT
2021-07-28,DKI5 (Kebon Jeruk) Jakarta Barat,70,130,33,17,28,45,130,PM25,TIDAK SEHAT
2021-07-29,DKI5 (Kebon Jeruk) Jakarta Barat,78,140,32,18,29,39,140,PM25,TIDAK SEHAT
2021-07-30,DKI5 (Kebon Jeruk) Jakarta Barat,75,121,37,12,50,21,121,PM25,TIDAK SEHAT
2021-07-31,DKI5 (Kebon Jeruk) Jakarta Barat,53,80,29,6,34,13,80,PM25,SEDANG
